H2,CH4,C2H2,C2H4,C2H6,Label,
0.884159,0.979686,0,0,0.020314,0,
0.897387,0.931648,0.006554,0.005618,0.05618,0,
0.872352,0.892092,0.001896,0.000948,0.105064,0,
0.979867,0.911635,0,0.002946,0.08542,0,
0.949754,0.501642,0.000469,0.000469,0.497419,0,
0.566726,0.895605,0,0.001318,0.103076,0, 
0.993119,0.385542,0.168675,0.385542,0.060241,0,
0.843428,0.510288,0.465021,0.024691,0,0,
0.994625,0.563662,0.336195,0.100143,0,0,
0.858614,0.495757,0.317539,0.186704,0,0,
0.317757,0.493151,0.319635,0.187215,0,0,
0.90501,0.746951,0.137195,0.106707,0.009,0,
0.872995,0.508772,0.407018,0.084211,0,0,
0.835987,0.45267,0.180825,0.364078,0.002427,0,
0.873874,0.5,0.414286,0.085714,0,0,
0.454005,0.452612,0.180765,0.364027,0.002597,0,
0.550811,0.163498,0.602662,0.209125,0.024715,1,
0.731707,0.454545,0.181818,0.181818,0.181818,1,
0.612903,0.166667,0.65,0.183333,0,1,
0.477847,0.136939,0.73265,0.119888,0.010524,1,
0.167959,0.107993,0.75139,0.130016,0.010601,1,
0.531915,0.141608,0.472028,0.089161,0.297203,1,
0.836653,0.536585,0.170732,0.146341,0.146341,1,
0.578947,0.214286,0.567857,0.189286,0.028571,1,
0.671322,0.333172,0.569773,0.09464,0.002414,1,
0.658351,0.311866,0.395538,0.211968,0.080629,1,
0.585054,0.189573,0.578199,0.2109,0.021327,1,
0.618557,0.337838,0.540541,0.108108,0.013514,1,
0.052632,0,0.701389,0.298611,0,1,
0.369243,0.209796,0.583401,0.195828,0.010975,1,
0.475535,0.436901,0.293628,0.183257,0.086214,1,
0.490949,0.3125,0.333513,0.181034,0.172953,1,
0.827114,0.035971,0.654676,0.23741,0.071942,1,
0.060606,0.016129,0.83871,0.112903,0.032258,1,
0.174264,0.031656,0.858603,0.106298,0.003443,1,
0.407143,0.289157,0.361446,0.325301,0.024096,1,
0.416493,0.356888,0.356888,0.28551,0.000714,1,
0.279292,0.330813,0.064272,0.113422,0.491493,1,
0.237467,0.134948,0.276817,0.138408,0.449827,1,
0.993119,0.385542,0.168675,0.385542,0.060241,1,
0.463901,0.243754,0.085314,0.091408,0.579525,1,
0.354117,0.311475,0.04007,0.100182,0.54827,1,
0.45027,0.200218,0.049145,0.231889,0.518748,1,
0.532985,0.350079,0.068265,0.142307,0.439349,1,
0.532015,0.149061,0.031522,0.212441,0.606975,1,
0.490713,0.261912,0.067538,0.160273,0.510278,1,
0.592745,0.32158,0.067603,0.084571,0.526246,1,
0.503677,0.282783,0.065183,0.236661,0.415374,2,
0.426734,0.220616,0.062381,0.348421,0.368581,2,
0.540811,0.212156,0.019495,0.31078,0.457569,2,
0.427351,0.307427,0.051185,0.294081,0.347307,2,
0.554801,0.262614,0.053274,0.287491,0.396621,2,
0.401596,0.203556,0.028444,0.359111,0.408889,2,
0.273462,0.076133,0.647562,0.260051,0.016253,2,
0.379061,0.125,0.543605,0.296512,0.034884,2,
0.291859,0.161244,0.531453,0.287346,0.019957,2,
0.440341,0.412437,0.309645,0.229695,0.048223,2,
0.385852,0.162304,0.492147,0.34555,0,2,
0.401596,0.203556,0.408889,0.359111,0.028444,2,
0.587558,0.399441,0.282123,0.318436,0,2,
0.475821,0.410839,0.271651,0.303254,0.014255,2,
0.242846,0.226762,0.373851,0.363636,0.035751,2,
0.209165,0.429684,0.21741,0.325259,0.027647,2,
0.558454,0.281445,0.440584,0.253648,0.024322,2,
0.315448,0.137812,0.585702,0.262705,0.013781,2,
0.5,0.230769,0.461538,0.230769,0.076923,2,
0.372283,0.290043,0.450216,0.229437,0.030303,2,
